env,config,seed,episode,steps_in_episode,reward_env,success
Foundational,Shaped DQN,27,22,15,8.500000000000004,False
Foundational,Shaped DQN,27,23,15,8.500000000000004,False
Foundational,Shaped DQN,27,24,15,8.500000000000004,False
Foundational,Shaped DQN,27,25,15,8.500000000000004,False
Foundational,Shaped DQN,27,26,15,8.500000000000004,False
Foundational,Shaped DQN,27,27,15,8.500000000000004,False
Foundational,Shaped DQN,27,28,15,8.500000000000004,False
Foundational,Shaped DQN,27,29,15,-1.4999999999999978,False
Foundational,Shaped DQN,27,30,15,8.500000000000004,False
Foundational,Shaped DQN,27,31,15,8.500000000000004,False
Foundational,Shaped DQN,27,32,15,8.500000000000004,False
Foundational,Shaped DQN,27,33,7,19.3,True
Foundational,Shaped DQN,27,34,6,19.4,True
Foundational,Shaped DQN,27,35,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,36,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,37,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,38,12,18.8,True
Foundational,Shaped DQN,27,39,15,8.5,False
Foundational,Shaped DQN,27,40,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,41,15,8.500000000000002,False
Foundational,Shaped DQN,27,42,15,8.500000000000004,False
Foundational,Shaped DQN,27,43,15,8.500000000000002,False
Foundational,Shaped DQN,27,44,15,-1.5000000000000002,False
Foundational,Shaped DQN,27,45,15,8.5,False
Foundational,Shaped DQN,27,46,15,8.500000000000004,False
Foundational,Shaped DQN,27,47,15,8.500000000000004,False
Foundational,Shaped DQN,27,48,15,8.500000000000004,False
Foundational,Shaped DQN,27,49,15,8.500000000000004,False
Foundational,Shaped DQN,27,50,7,19.3,True
Foundational,Shaped DQN,27,51,6,19.4,True
Foundational,Shaped DQN,27,52,6,19.4,True
Foundational,Shaped DQN,27,53,15,8.500000000000004,False
Foundational,Shaped DQN,27,54,6,19.4,True
Foundational,Shaped DQN,27,55,9,19.1,True
Foundational,Shaped DQN,27,56,10,19.0,True
Foundational,Shaped DQN,27,57,8,19.200000000000003,True
Foundational,Shaped DQN,27,58,7,19.3,True
Foundational,Shaped DQN,27,59,8,19.200000000000003,True
Foundational,Shaped DQN,27,60,6,19.4,True
Foundational,Shaped DQN,27,61,6,19.4,True
Foundational,Shaped DQN,27,62,6,19.4,True
Foundational,Shaped DQN,27,63,11,18.9,True
Foundational,Shaped DQN,27,64,7,19.3,True
Foundational,Shaped DQN,27,65,6,19.4,True
Foundational,Shaped DQN,27,66,7,19.3,True
Foundational,Shaped DQN,27,67,6,19.4,True
Foundational,Shaped DQN,27,68,6,19.4,True
Foundational,Shaped DQN,27,69,6,19.4,True
Foundational,Shaped DQN,27,70,6,19.4,True
Foundational,Shaped DQN,27,71,6,19.4,True
Foundational,Shaped DQN,27,72,8,19.200000000000003,True
Foundational,Shaped DQN,27,73,7,19.3,True
Foundational,Shaped DQN,27,74,6,19.4,True
Foundational,Shaped DQN,27,75,6,19.4,True
Foundational,Shaped DQN,27,76,6,19.4,True
Foundational,Shaped DQN,27,77,9,19.1,True
Foundational,Shaped DQN,27,78,7,19.3,True
Foundational,Shaped DQN,27,79,6,19.4,True
Foundational,Shaped DQN,27,80,15,8.500000000000004,False
Foundational,Shaped DQN,27,81,6,19.4,True
Foundational,Shaped DQN,27,82,6,19.4,True
Foundational,Shaped DQN,27,83,6,19.4,True
Foundational,Shaped DQN,27,84,6,19.4,True
Foundational,Shaped DQN,27,85,6,19.4,True
Foundational,Shaped DQN,27,86,7,19.3,True
Foundational,Shaped DQN,27,87,8,19.200000000000003,True
Foundational,Shaped DQN,27,88,7,19.3,True
Foundational,Shaped DQN,27,89,6,19.4,True
Foundational,Shaped DQN,27,90,6,19.4,True
Foundational,Shaped DQN,27,91,6,19.4,True
Foundational,Shaped DQN,27,92,7,19.3,True
Foundational,Shaped DQN,27,93,7,19.3,True
Foundational,Shaped DQN,27,94,6,19.4,True
Foundational,Shaped DQN,27,95,6,19.4,True
Foundational,Shaped DQN,27,96,6,19.4,True
Foundational,Shaped DQN,27,97,6,19.4,True
Foundational,Shaped DQN,27,98,6,19.4,True
Foundational,Shaped DQN,27,99,6,19.4,True
Foundational,Shaped DQN,27,100,6,19.4,True
Foundational,Shaped DQN,27,101,8,19.200000000000003,True
Foundational,Shaped DQN,27,102,6,19.4,True
Foundational,Shaped DQN,27,103,6,19.4,True
Foundational,Shaped DQN,27,104,7,19.3,True
Foundational,Shaped DQN,27,105,6,19.4,True
Foundational,Shaped DQN,27,106,7,19.3,True
Foundational,Shaped DQN,27,107,6,19.4,True
Foundational,Shaped DQN,27,108,8,19.200000000000003,True
Foundational,Shaped DQN,27,109,6,19.4,True
Foundational,Shaped DQN,27,110,7,19.3,True
Foundational,Shaped DQN,27,111,6,19.4,True
Foundational,Shaped DQN,27,112,7,19.3,True
Foundational,Shaped DQN,27,113,6,19.4,True
Foundational,Shaped DQN,27,114,6,19.4,True
Foundational,Shaped DQN,27,115,6,19.4,True
Foundational,Shaped DQN,27,116,6,19.4,True
Foundational,Shaped DQN,27,117,6,19.4,True
Foundational,Shaped DQN,27,118,6,19.4,True
Foundational,Shaped DQN,27,119,9,19.1,True
Foundational,Shaped DQN,27,120,6,19.4,True
